Título Original,Título Alternativo,Año,Calificación,Duración (min),Clasificación,Género,Sinopsis,URL,Plataforma
Raiders of the Lost Ark,Los cazadores del arca perdida,1981,8.4,115,A,"Acción, Aventura","En 1936, el arqueólogo y aventurero Indiana Jones es contratado por el gobierno de Estados Unidos para encontrar el Arca de la Alianza antes de que lo hagan los nazis de Adolf Hitler.",https://www.imdb.com/title/tt0082971/,"Paramount Plus, Claro video"
Das Leben der Anderen,La vida de los otros,2006,8.4,137,B15,"Drama, Misterio, Suspenso","En el este de Berlín en 1984, un agente de la policía secreta que vigila a un escritor y su amante, se encuentra cada vez más inmerso en sus vidas.",https://www.imdb.com/title/tt0405094/,Ninguna Plataforma
Avengers: Infinity War,Avengers: Infinity War,2018,8.4,149,B,"Acción, Aventura, Ciencia ficción",Los Avengers y sus aliados deberán estar dispuestos a sacrificarlo todo con el fin de derrotar a Thanos antes de que él ponga fin al universo.,https://www.imdb.com/title/tt4154756/,Disney Plus
Sunset Boulevard,El ocaso de una vida,1950,8.4,110,B,"Drama, Cine negro",Un guionista es contratado para reescribir el guion de una estrella de cine mudo en decadencia y acaba desarrollando una peligrosa relación.,https://www.imdb.com/title/tt0043014/,Ninguna Plataforma
Spider-Man: Into the Spider-Verse,Spider-Man: Un nuevo universo,2018,8.4,117,A,"Animación, Acción, Aventura",El adolescente Miles Morales es el Spider-Man de su propia realidad y se encontrará con otros como él de otras dimensiones para combatir una amenaza que acecha a todas las realidades.,https://www.imdb.com/title/tt4633694/,"Amazon Prime Video, Netflix, Claro video"
Paths of Glory,Patrulla infernal,1957,8.4,88,B,"Drama, Guerra",Un grupo de soldados son acusados de cobardía por su general cuando rechazan atacar una posición enemiga; su oficial al mando les defiende.,https://www.imdb.com/title/tt0050825/,Ninguna Plataforma
Witness for the Prosecution,Testigo de cargo,1957,8.4,116,A,"Crimen, Drama, Misterio",Un veterano abogado británico debe defender a su cliente en un juicio por asesinato en el que surge una sorpresa tras otra.,https://www.imdb.com/title/tt0051201/,Ninguna Plataforma
The Shining,El resplandor,1980,8.4,146,C,"Drama, Terror","Una familia se dirige a un hotel aislado para el invierno donde una presencia siniestra influye en la violencia del padre, mientras que su hijo psíquico ve horripilantes presentimientos tanto del pasado como del futuro.",https://www.imdb.com/title/tt0081505/,Max
The Great Dictator,El gran dictador,1940,8.4,125,AA,"Comedia, Drama, Guerra",El dictador Adenoid Hynkel trata de expandir su imperio mientras un humilde barbero judío intenta escapar de la persecución del régimen de Hynkel.,https://www.imdb.com/title/tt0032553/,Ninguna Plataforma
12th Fail,12th Fail,2023,8.8,147,Desconocido,"Biografía, Drama",La historia real del oficial del IPS Manoj Kumar Sharma y la oficial del IRS Shraddha Joshi.,https://www.imdb.com/title/tt23849204/,Netflix
Aliens,Alien 2: El regreso,1986,8.4,137,C,"Acción, Aventura, Terror","Ellen Ripley es rescatada por un equipo de salvación tras permanecer en un hipersueño durante 57 años. La luna visitada por Nostromo ha sido colonizada, pero el contacto se ha perdido. Esta vez, los marines coloniales tienen una potencia de fuego impresionante, pero ¿será suficiente?",https://www.imdb.com/title/tt0090605/,Disney Plus
Inglourious Basterds,Bastardos sin gloria,2009,8.4,153,B15,"Aventura, Drama, Guerra","En la Francia ocupada por los nazis durante la Segunda Guerra Mundial, el plan para asesinar a líderes nazis por un grupo de soldados judíos de los Estados Unidos, coincide con el dueño de un teatro que planea lo mismo.",https://www.imdb.com/title/tt0361748/,"Amazon Prime Video, Max, Netflix"
The Dark Knight Rises,Batman: El caballero de la noche asciende,2012,8.4,164,B,"Acción, Drama, Suspenso","Ocho años después de la anarquía del Joker, Batman, con la ayuda de la enigmática Catwoman, se ve obligado a abandonar su exilio para salvar Gotham City, ahora al borde de la aniquilación total causada por el brutal guerrillero terrorista Bane.",https://www.imdb.com/title/tt1345836/,Max
Coco,Coco,2017,8.4,105,A,"Animación, Aventura, Drama","El aspirante a músico Miguel, entra a la Tierra de los Muertos para encontrar a su tatarabuelo, un legendario cantante.",https://www.imdb.com/title/tt2380307/,Disney Plus
Amadeus,Amadeus,1984,8.4,160,B,"Biografía, Drama, Música","La vida, el éxito y los problemas de Wolfgang Amadeus Mozart, contada desde el punto de vista de Antonio Salieri, quien estaba locamente celoso del talento de Mozart y afirmó haberlo asesinado.",https://www.imdb.com/title/tt0086879/,Ninguna Plataforma
Toy Story,Toy Story,1995,8.3,81,AA,"Animación, Aventura, Comedia",Un vaquero se siente profundamente amenazado y celoso cuando un nuevo astronauta lo reemplaza como el mejor juguete en la habitación de un niño.,https://www.imdb.com/title/tt0114709/,Disney Plus
Avengers: Endgame,Avengers: Endgame,2019,8.4,181,B,"Acción, Aventura, Ciencia ficción","Tras los devastadores sucesos de Avengers: Infinity War, el universo está en ruinas pero de los que quedan, los Avengers se unirán una vez más para deshacer la destrucción de Thanos y restaurar el orden del mundo.",https://www.imdb.com/title/tt4154796/,Disney Plus
Good Will Hunting,Mente indomable,1997,8.3,126,B,"Drama, Romance","Will Hunting, un conserje del MIT, tiene un don para las matemáticas, pero necesitará la ayuda de un psicólogo para encontrar orientación en su vida.",https://www.imdb.com/title/tt0119217/,Ninguna Plataforma
Oldeuboi,Cinco días para vengarse,2003,8.3,120,C,"Acción, Drama, Misterio","Después de ser secuestrado y encarcelado durante quince años, un hombre es liberado, solo para descubrir que debe encontrar al que lo capturó en cinco días.",https://www.imdb.com/title/tt0364569/,MUBI
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,Dr. Insólito,1964,8.3,95,B,"Comedia, Guerra",Un general provoca un potencial holocausto nuclear que una sala de guerra llena de políticos y generales intenta frenéticamente detener.,https://www.imdb.com/title/tt0057012/,Ninguna Plataforma
